,error,category
0,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8000: bind: address already in use.,0
1,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8001: bind: address already in use.,0
2,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8002: bind: address already in use.,0
3,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8003: bind: address already in use.,0
4,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8004: bind: address already in use.,0
5,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8005: bind: address already in use.,0
6,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8006: bind: address already in use.,0
7,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8007: bind: address already in use.,0
8,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8008: bind: address already in use.,0
9,docker: Error response from daemon: driver failed programming external connectivity on endpoint elastic_williams (d41be30d46cae4865b3fb513c280fca4dd080aa3252c8e0984dad8c96894605d): Error starting userland proxy: listen tcp 0.0.0.0:8009: bind: address already in use.,0
